PARAMETERS,SO2,CO,NO,NO2,NOX,NH3,O3,AQI,WS,WD,RH,SR,TC
13/02/2023,1.1,0,10.9,19.01,26,11.03,24.75,82,0.39,48.71,72.82,319.1,29.26
14/02/2023,0.59,0.02,10.8,18.97,25,10.81,24.72,88,0.36,144.63,67.69,326,29.04
15/02/2023,2.21,0.01,10.8,18.98,26,10.78,24.72,89,0.49,39.34,76.2,260.8,29.43
16/02/2023,2.6,0.13,10.9,18.97,25,10.9,24.8,87,0.21,77.96,74.77,256.6,28.57
17/02/2023,0.81,0.06,10.9,18.99,26,10.86,24.77,84,0.06,172.61,66.22,271.1,31.28
18/02/2023,0.81,0.11,10.9,19.02,26,10.88,24.78,79,0.17,204.94,60.57,281.6,28.79
19/02/2023,5.19,0.08,10.9,18.98,26,10.88,24.79,76,0.3,67.56,66.98,270.1,28.94
20/02/2023,2.96,0.01,10.8,18.96,25,10.77,24.72,74,0.43,40.52,71.15,241.4,29.17
21/02/2023,1.4,0.01,10.3,18.84,26,10.26,24.88,72,0.28,44.53,77.9,263.4,30.09
22/02/2023,0.26,0.03,9.63,18.77,26,9.63,24.96,72,0.35,57.16,75.21,251.4,29.57
23/02/2023,0.38,0.07,9.65,18.77,25,9.75,25.04,75,0.36,40.7,62.13,269.5,30.63
24/02/2023,2.89,0.07,9.6,18.87,26,9.6,24.98,78,0.24,109.61,71.39,268.6,30.73
25/02/2023,2.29,0.01,9.6,18.87,26,9.6,24.97,75,0.37,52.59,75.2,255.3,30.45
26/02/2023,0.55,0.03,9.6,18.83,25,9.6,24.98,60,0.28,202.79,65.5,266.5,29.94
27/02/2023,0.07,0.08,9.56,18.81,25,9.56,24.92,57,0.46,212.38,51.81,267.1,30.29
28/02/2023,3.25,0.03,9.65,18.9,26,9.65,25.04,70,0.22,86.4,60.56,230.1,30.65
01/03/2023,1.13,0.05,9.62,18.9,26,9.65,25,79,0.47,31.48,71.68,205.7,30.48
02/03/2023,0.38,0.06,9.53,18.87,25,9.49,24.89,74,0.17,213.65,54.73,267.8,30.42
03/03/2023,2.07,0.03,9.56,18.92,25,9.56,24.92,68,0.3,47.4,61.23,266.6,30.4
04/03/2023,1.21,0.01,9.54,18.76,26,9.54,24.9,70,0.13,124.67,59.04,263.6,31.26
05/03/2023,2.36,0.05,9.63,18.8,25,9.63,25.01,64,0.3,184.16,68.53,239.4,31.41
06/03/2023,0.27,0.01,9.6,18.82,26,9.6,24.97,65,0.35,57.81,68.21,264.5,30.63
07/03/2023,3.4,0.03,9.6,18.91,26,9.6,24.97,74,0.22,74.67,69.19,263,31.22
08/03/2023,0.19,0.09,9.61,18.94,26,9.61,24.98,84,0.25,142.39,74.96,249,31.46
09/03/2023,1.12,0.03,9.61,18.87,26,10.07,25.02,83,0.16,174.56,69.52,336.7,31.1
10/03/2023,0.41,0.06,9.71,18.81,26,9.71,25.13,83,0.71,194.24,65.04,286.8,30.81
11/03/2023,0.91,0.01,9.57,18.91,26,9.57,24.93,82,0.18,133.67,72.05,246.7,31.26
12/03/2023,0.39,0,9.62,18.8,26,9.62,25.01,75,0.29,186.25,70.94,257.6,31.62
13/03/2023,0.29,0.14,9.58,18.84,26,9.58,24.94,70,0.66,197.53,68.37,274.4,33.02
14/03/2023,2.72,0.02,9.54,18.9,25,9.54,24.89,72,0.33,55.73,71.13,249.1,31.23
15/03/2023,2.25,0,9.67,18.81,26,9.74,25.06,76,0.42,43.42,78.66,235.4,31.78
16/03/2023,0.43,0.05,9.65,18.91,25,9.65,25.04,78,0.12,70.28,80.73,248.7,32.18
17/03/2023,0.33,0.03,9.59,18.84,25,9.59,24.97,70,0.11,64.04,79.73,207.6,31.2
18/03/2023,0.17,0.02,9.62,18.84,25,9.62,25,51,0.16,17.52,79.73,226.7,31.17
19/03/2023,0.28,0,9.63,18.85,25,9.63,25.01,39,0.35,196.8,79.02,249.8,31.15
20/03/2023,0.31,0.09,9.63,18.83,25,9.63,25.01,41,0.41,208.54,78.38,249.5,31.17
21/03/2023,1.45,0.14,9.64,18.91,25,9.64,25.03,52,1.18,210.64,75.27,265.5,30.64
22/03/2023,1.74,0.19,9.65,18.84,26,9.65,25.04,63,1.54,205.38,69.54,275.4,31.23
23/03/2023,2.57,0.01,9.63,18.76,25,9.63,25.02,57,1.47,203.18,74.8,270.1,31.47
24/03/2023,0.73,0.02,9.64,18.93,25,9.7,25.02,51,0.38,171.67,77.59,243.6,31.6
25/03/2023,2.65,0.01,9.57,18.93,26,9.57,24.93,44,0.17,102.72,74.59,278.8,31.49
26/03/2023,0.81,0.08,9.58,18.9,25,9.58,24.95,38,0.8,197.24,78.29,255.4,31.37
27/03/2023,0.49,0.07,9.66,18.85,26,9.66,25.06,41,1.93,199.75,73.42,275.1,31.64
28/03/2023,0.07,0.11,9.58,18.89,26,9.58,24.95,55,1.47,200.14,76.01,258.2,32.15
29/03/2023,0.17,0,9.72,18.83,25,9.73,25.12,65,0.14,55.1,83.82,260.2,31.69
30/03/2023,0.45,0.01,9.64,18.91,26,9.64,25.02,66,2,196.91,71.79,286,31.84
31/03/2023,0.26,0,9.6,18.83,25,9.52,25,63,1.55,206.51,73.82,273.8,31.94
01/04/2023,2.52,0.06,9.6,18.89,26,9.6,24.97,58,1.36,203.79,76.11,251.6,31.26
02/04/2023,1.22,0.03,9.62,18.84,26,9.62,25,46,1.46,203.18,74.24,138.6,32.87
03/04/2023,3.14,0.06,9.64,18.87,26,9.64,25.03,47,1.35,206.47,75.28,,32.12
04/04/2023,1.51,0.12,9.27,19.05,26,9.3,25.06,54,0.8,218.93,80.7,265.4,30.63
05/04/2023,1.63,0.02,8.98,19.23,25,8.98,25.12,48,0.23,204.56,78.97,239.2,33.02
06/04/2023,0.27,0.03,8.93,19.22,26,8.93,25.01,47,0.36,214.19,81.21,265.6,31.52
07/04/2023,0.95,0.03,8.97,19.26,26,8.97,25.1,42,0.18,165.22,80.27,324.2,31.45
08/04/2023,0.85,0,8.91,19.27,26,8.87,24.98,36,0.31,16.35,78.36,303.4,31.67
09/04/2023,2.01,0,8.91,19.27,25,8.91,24.98,40,0.16,291.81,79.2,278.9,31.54
10/04/2023,3.06,0.07,8.95,19.21,25,8.95,25.05,43,0.15,105.99,79.43,264.4,30.06
11/04/2023,0.67,0.03,8.87,19.24,26,8.87,24.9,44,0.12,74.44,76.48,241,31.07
12/04/2023,0.92,0.01,8.94,19.19,26,8.88,25.05,50,0.19,49.93,75.99,239,31.52
13/04/2023,0.41,0.04,8.93,19.22,25,8.93,25.01,64,0.18,161.13,79.02,239.1,31.5
14/04/2023,0.14,0.01,8.91,19.18,25,8.91,24.98,70,0.89,210.09,78.68,239,31.95
15/04/2023,0.62,0.11,8.92,19.22,25,8.92,25,68,1.25,210.8,77.64,239,30.53
16/04/2023,2.88,0,8.94,19.27,26,8.94,25.04,61,1.05,213.21,76.92,239.1,31.29
17/04/2023,0.51,0.01,8.91,19.25,26,8.91,24.99,64,1.07,215.59,75.99,239.1,31.77
18/04/2023,0.49,0.02,8.88,19.22,25,8.88,24.93,69,0.5,212.6,78.35,239.1,32.36
19/04/2023,2.34,0.07,8.93,19.26,26,8.93,25.01,66,0.55,204.28,79.08,239.2,32.66
20/04/2023,0.94,0.06,8.91,19.2,26,8.91,24.99,61,0.5,212.42,82.77,290.7,32.94
21/04/2023,1.33,0.03,8.96,19.24,26,8.96,25.08,54,0.83,205.19,83.24,274,32.87
22/04/2023,1.61,0,8.94,19.19,26,8.94,25.04,50,1.33,211.88,72.93,239.1,32.74
23/04/2023,1.62,0,8.95,19.21,26,8.95,25.05,53,1.27,213.23,73.48,239.1,33.02
24/04/2023,0.23,0.01,8.91,19.25,26,8.91,24.99,83,0.68,216.49,71.66,239.1,33.29
25/04/2023,3.74,0.04,8.94,19.25,25,8.94,25.04,48,0.42,22.43,79.73,253.3,33.21
26/04/2023,0.31,0.05,8.86,19.23,25,8.9,24.9,43,0.32,324.38,82.55,290.4,32.69
27/04/2023,0.46,0.16,8.91,19.24,26,8.91,24.98,39,0.1,15.58,85.9,274.6,32.21
28/04/2023,0.85,0.03,8.87,19.31,26,8.87,24.91,41,0.32,14.97,86.51,298.6,33.07
29/04/2023,1.1,0.02,8.97,19.22,26,8.97,25.09,41,0.16,335.93,92.34,331.2,33.1
30/04/2023,1.84,0,8.91,19.23,26,8.91,24.98,34,0.38,24.21,84.27,241.3,33.15
01/05/2023,0.34,0.04,8.9,19.25,26,8.9,24.96,30,0.4,328.66,85.54,264,32.13
02/05/2023,0.24,0.01,8.94,19.29,25,8.94,25.03,25,0.16,248.33,84.13,276,30.81
03/05/2023,2.39,0.1,8.9,19.24,26,8.9,24.96,27,0.88,219.8,82.68,431.7,31
04/05/2023,2.14,0.01,8.55,18.51,26,8.55,24.57,38,0.92,218.75,74.51,239,30.79
05/05/2023,0.48,0.07,7.95,17.41,26,7.95,23.83,57,0.55,225.42,79.56,253.5,29.54
06/05/2023,0.57,0,7.94,17.34,25,7.94,23.82,52,0.77,219.57,78.34,241,30.93
07/05/2023,0.32,0.01,7.92,17.37,25,7.92,23.78,37,1.05,225.57,78.66,248.3,29.54
08/05/2023,1.49,0.01,7.9,17.34,26,7.9,23.75,41,1.2,216.14,76.33,239.4,33.29
09/05/2023,0.64,0.02,7.93,17.36,25,7.97,23.79,42,0.93,219.36,86.39,305.3,31.9
10/05/2023,0.02,0.02,7.92,17.31,26,7.92,23.78,38,1.14,215.41,82.27,306.1,30.66
11/05/2023,0.45,0.01,7.92,17.36,26,7.92,23.78,37,0.66,214.48,86.28,312.6,31.02
12/05/2023,0.77,0.02,7.95,17.34,25,8.01,23.82,31,0.14,99.01,84.68,315.4,31.07
13/05/2023,1.83,0.01,7.96,17.34,25,7.96,23.84,28,0.43,201.94,86.07,290.9,32.33
14/05/2023,0.03,0.01,7.96,17.31,26,7.96,23.84,33,1.18,200.98,81.94,251.3,31.44
15/05/2023,2.64,0.14,7.94,17.34,26,7.94,23.81,37,1.45,205.55,78.91,239.3,31.58
16/05/2023,2.27,0.1,7.97,17.4,26,7.94,23.89,45,1.26,217.64,78.97,239.3,31.17
17/05/2023,0.38,0.19,7.9,17.29,26,7.93,23.78,56,1.08,219.05,83.04,239.3,32.4
18/05/2023,0.19,0.15,7.95,17.38,26,7.95,23.84,60,0.86,203.11,73.12,239.3,30.51
19/05/2023,0.33,0.17,7.93,17.33,26,7.93,23.77,78,0.19,207.99,84.21,272.8,31.76
20/05/2023,0.42,0.1,7.96,17.35,26,7.96,23.78,58,0.89,217.74,78.58,239.3,31.65
21/05/2023,1.92,0.01,7.98,17.34,25,7.98,23.83,44,0.73,217.58,81.99,246.5,31.8
22/05/2023,1.46,0.02,7.89,17.39,26,7.89,23.84,41,0.1,303.89,86.97,336.1,32.12
23/05/2023,3.3,0.01,7.99,17.32,26,7.99,23.8,28,0.34,41.37,82.77,308.5,32.96
24/05/2023,3.91,0.09,7.94,17.35,26,7.94,23.83,34,0.07,101.27,80.65,239.2,33.26
25/05/2023,0.77,0.01,7.96,17.36,26,7.96,23.72,37,0.51,220.25,84.01,272.3,33.17
26/05/2023,0.22,0.01,7.88,17.33,26,7.87,23.82,46,0.8,217.78,86.58,812.3,32.5
27/05/2023,1.87,0,7.95,17.3,25,7.95,23.83,40,1.24,215.85,83.01,297,34.53
28/05/2023,1.43,0.03,7.96,17.36,26,7.96,23.79,42,1.18,216.99,80.41,268.2,32.43
29/05/2023,0.46,0.04,7.95,17.35,26,7.95,23.81,50,1.06,212.76,80.3,239,32.85
30/05/2023,0.91,0.01,7.93,17.31,25,7.93,23.79,56,0.4,216.93,81.16,239,32.46
31/05/2023,0.03,0.01,7.96,17.43,25,7.93,23.82,52,0.25,224.44,82.93,239.3,30.7
01/06/2023,0.47,0.02,7.91,17.29,26,7.91,23.76,58,0.59,231.65,82.84,239.1,30.66
02/06/2023,0.15,0.04,7.94,17.35,25,7.94,23.8,54,1.1,219.95,79.4,239.2,31.75
03/06/2023,1.69,0.03,7.96,17.38,26,7.96,23.84,42,0.89,214.04,80.58,239.2,32.36
04/06/2023,3.19,0.08,7.93,17.36,25,7.93,23.79,30,1.09,212.32,83.08,371.5,32.32
05/06/2023,0.16,0.05,7.89,17.34,25,7.89,23.74,30,1.06,213.19,85.66,268,32.33
06/06/2023,0.89,0.06,7.96,17.36,26,7.96,23.85,30,1.2,213.72,82.9,284,31.76
07/06/2023,0.26,0.22,7.94,17.36,26,7.94,23.81,29,0.88,219.59,93.24,542,30.51
08/06/2023,0.5,0.02,7.94,17.4,26,7.94,23.8,28,0.94,222.97,86.34,315.7,34.53
09/06/2023,2.59,0.04,7.92,17.37,26,7.92,23.78,31,1.03,218.86,85.2,309,31.97
10/06/2023,1.9,0.01,7.94,17.34,25,7.94,23.81,29,1.09,215.33,80.78,243.2,31.46
11/06/2023,0.66,0.01,7.93,17.35,26,7.93,23.8,31,0.46,228.97,86.99,294.6,32.44
12/06/2023,1.49,0.04,7.97,17.33,26,7.97,23.85,33,0.59,220,95.1,335.5,32.73
13/06/2023,0.2,0.01,7.99,17.35,26,7.95,23.87,30,0.56,220.48,87.1,285.6,31.28
14/06/2023,2.05,0.01,7.97,17.37,26,7.91,23.82,37,0.98,209.37,80.37,239.3,31.43
15/06/2023,1.95,0.04,7.97,17.4,26,7.97,23.79,44,1.07,208.74,79.04,239.3,31.2
16/06/2023,1.98,0.03,7.94,17.32,26,7.94,23.81,43,1.12,206.89,82.76,239.5,29.77
17/06/2023,1.06,0.01,7.96,17.3,25,7.96,23.81,46,0.77,219,88.78,240.2,29.64
18/06/2023,1.71,0.02,7.98,17.31,26,7.98,23.77,31,0.6,218.54,88.7,656.3,29.75
19/06/2023,0.82,0.01,7.9,17.34,26,7.9,23.82,45,0.8,214.51,87.17,448.1,30.72
20/06/2023,0.17,0.1,7.97,17.35,25,7.97,23.88,47,0.78,219.98,86.15,322.2,30.13
21/06/2023,1.18,0.15,7.92,17.33,26,7.92,23.85,49,0.87,213.41,86.33,239.3,29.13
22/06/2023,1.86,0.01,7.9,17.32,26,7.9,23.86,48,0.97,212.97,80.85,239.3,29.61
23/06/2023,1.19,0.01,7.93,17.31,26,7.93,23.8,55,0.98,214.89,79.18,239.3,30.95
24/06/2023,0.52,0.01,7.93,17.33,26,7.93,23.75,55,0.94,220.66,77.38,239.3,31.82
25/06/2023,1.68,0,7.94,17.37,26,7.94,23.8,41,0.71,221.88,85.89,313,31.51
26/06/2023,2.37,0.02,7.92,17.37,25,7.92,23.79,28,0.96,219.91,85.66,268,30.15
27/06/2023,0.57,0.06,7.99,17.37,25,7.99,23.78,26,0.79,221.68,97.18,330,29
28/06/2023,2.36,0.02,7.97,17.32,25,7.97,23.76,30,0.68,222.78,82.42,483.9,29.7
29/06/2023,0.57,0.02,7.93,17.38,25,7.93,23.79,31,0.88,217.98,88.4,459.1,30.67
30/06/2023,1.74,0.02,7.92,17.32,25,7.93,23.82,31,0.85,211.92,82.73,261.9,30.28
01/07/2023,0.69,0.03,7.97,17.34,26,7.97,23.86,45,1.03,223.51,82.55,239.2,29.62
02/07/2023,1.14,0,7.92,17.34,26,7.92,23.78,36,1.03,226.16,87.57,307.8,29.36
03/07/2023,1.44,0.12,7.95,17.37,26,7.95,23.83,28,0.94,232.22,96.06,712.5,26.73
04/07/2023,1.1,0.02,7.91,17.32,26,7.83,23.77,31,0.74,204.55,96.95,0,29.25
05/07/2023,4.26,0.01,7.91,17.34,26,7.91,23.77,31,0.99,224.73,96.33,0,29.05
06/07/2023,2.07,0.02,7.91,17.33,25,7.91,23.77,35,1.05,224.83,92.3,0,30.45
07/07/2023,1.21,0.02,7.93,17.38,25,8.01,23.79,33,0.87,227.3,93.96,0,26.73
08/07/2023,0.82,0.01,7.89,17.39,26,7.89,23.74,33,0.91,235.36,87.62,0,32.73
09/07/2023,2.31,0.01,7.92,17.37,25,7.92,23.78,35,1.17,230.23,82.38,480.9,30.38
10/07/2023,0.39,0.01,7.89,17.38,25,8.01,23.74,42,28.43,87.65,230.1,440.2,30.67
11/07/2023,0.84,0.01,7.91,17.39,26,7.89,23.48,47,30.31,82.83,225.4,410.5,29.96
12/07/2023,3.01,0.01,7.93,17.37,25,7.92,23.68,45,30.63,83.28,231,369.2,26.93
13/07/2023,0.98,0.02,7.92,17.37,26,7.89,23.79,41,30.4,96.93,235.6,371.4,26.79
14/07/2023,2.06,0.01,7.93,17.37,26,8.01,23.77,36,29.61,99.87,220.8,365.2,27.41
15/07/2023,1.12,0.01,7.87,17.39,26,8.02,23.79,34,29.93,93.96,230.3,370.4,28.21
16/07/2023,2.05,0.01,7.83,17.38,25,7.94,23.81,40,30.09,87.62,232.6,395.4,28.48
17/07/2023,3.21,0.02,7.72,17.38,25,8.09,23.95,42,30.26,87.99,229.1,407.6,29.12
18/07/2023,3.69,0.03,7.81,17.39,26,8.13,23.58,40,30.53,93.18,229.6,412.8,30.24
19/07/2023,1.16,0.03,7.97,17.31,26,7.98,23.75,37,30.19,96.39,231.7,400.3,0.97
20/07/2023,3.1,0.01,7.93,17.37,26,7.93,23.71,35,29.5,87.92,230.2,398.2,0.82
21/07/2023,4,0.02,7.87,17.63,26,8.06,23.74,38,29.83,87.53,235.6,395.4,1.21
22/07/2023,1.45,0.01,7.85,17.65,26,7.81,23.73,39,29.19,87.31,238.4,391.1,0.85
23/07/2023,1.18,0.01,7.87,17.35,26,7.7,23.74,39,29.01,87.25,212.5,387.4,0.92
24/07/2023,0.91,0.02,7.73,17.48,25,7.34,23.26,37,28.24,94.35,237.4,398,0.95
25/07/2023,0.53,0.08,7.85,17.37,26,7.65,23.35,38,29.23,85.78,239,310.1,0.87
26/07/2023,1.11,0.03,7.87,17.54,26,7.82,24.74,38,28.68,86.48,237.5,230.8,0.98
27/07/2023,1.23,0.56,7.87,7.89,25,7.87,25.25,38,29.52,80.31,223.4,89,1.71
28/07/2023,4.62,0.67,7.88,7.83,25,7.88,25.58,37,30.57,73.02,224.1,102.6,1.58
29/07/2023,4.56,0.75,7.85,7.81,25,7.85,25.13,38,30.42,77.95,222.9,100.6,1.28
30/07/2023,3.44,0.77,7.94,7.83,25,7.94,25.55,39,30.58,78.5,223.6,102.6,0.86
31/07/2023,1.57,0.76,7.91,7.85,26,7.91,25.39,38,30.47,80.58,222.1,101.2,0.85
01/08/2023,1.89,0.76,7.86,7.83,25,7.86,25.19,38,30.57,81.58,224.7,102.3,1.03
02/08/2023,0.81,0.76,7.89,7.86,25,7.89,25.31,38,30.62,83.05,222.4,103.2,1.12
03/08/2023,0.35,0.76,7.92,8.92,25,7.92,25.44,38,30.76,83.21,223.1,105,1.41
04/08/2023,0.34,0.76,7.86,10.83,25,7.86,25.19,38,30.95,81.17,223.4,106.7,1.37
05/08/2023,1.45,0.77,7.92,10.83,25,7.92,25.44,39,31.12,75.33,227.5,109.6,1.33
06/08/2023,1.44,0.75,7.83,10.81,25,7.83,25.18,38,30.7,80.03,224,104.2,1.3
07/08/2023,1.34,0.76,7.86,10.91,26,7.86,25.04,38,30.49,82.26,222.2,101.5,0.82
08/08/2023,0.43,0.76,7.91,10.84,25,7.91,25.41,38,30.31,82.77,222.3,99.17,30.67
09/08/2023,0.63,0.76,7.87,10.79,25,7.87,25.23,38,30.36,81.92,227.1,99.86,9.51
10/08/2023,1.51,0.75,7.85,10.9,25,7.85,25.14,38,30.05,85.59,225,95.86,1.3
11/08/2023,2.12,0.77,7.91,10.82,25,7.91,25.58,38,30.42,85.1,224.2,100.7,1.21
12/08/2023,1.66,0.76,7.87,10.84,25,7.87,25.23,38,30.48,81,221.4,101.3,1.33
13/08/2023,1.15,0.76,7.91,10.83,25,7.91,25.4,38,30.48,80.98,224.6,101.4,1.24
14/08/2023,0.45,0.76,7.89,10.79,25,7.89,25.31,38,30.35,82.84,220.3,100.1,1.33
15/08/2023,0.58,0.76,7.89,10.7,26,7.89,25.34,38,30.5,81.1,222.2,101.7,1.31
16/08/2023,1.35,0.76,7.89,10.83,25,7.89,25.32,44,30.05,82.94,229.8,95.85,1.19
17/08/2023,0.36,0.76,7.85,10.86,25,7.85,25.15,47,30.83,80.78,222.4,105.9,1.16
18/08/2023,4.8,0.77,7.94,10.84,25,7.94,25.55,43,31.01,83.33,219.1,108.2,1.1
19/08/2023,2.27,0.75,7.84,10.89,26,7.84,25.12,41,29.19,90.13,247.6,84.7,1.06
20/08/2023,1.95,0.75,7.98,10.84,25,7.84,25.38,46,30.34,70.25,236,117.3,1.17
21/08/2023,0.09,0.76,7.89,10.89,26,7.9,25.32,63,31.78,77.32,216.2,118.2,1.19
22/08/2023,1.56,0.76,7.92,10.77,25,7.92,25.44,49,31.27,80.11,224.1,111.6,1.19
23/08/2023,1.97,0.77,7.97,10.86,25,7.97,25.64,40,31.2,79.39,222.7,110.7,1.09
24/08/2023,0.3,0.76,7.9,10.84,25,7.9,25.36,38,30.94,77.16,225.9,107.3,0.98
25/08/2023,0.67,0.77,7.96,10.78,26,7.96,25.63,39,29.13,87.52,243.4,84.02,0.31
26/08/2023,0.12,0.76,7.9,10.93,25,7.9,25.37,35,31.4,76.72,230.6,112.8,0.53
27/08/2023,1.52,0.75,7.78,10.83,25,7.78,24.85,38,31.49,80.31,227.6,114.4,0.94
28/08/2023,0.56,0.75,7.85,10.83,25,7.85,25.15,38,31.35,80.02,223.1,112.5,0.81
29/08/2023,1.58,0.76,7.89,10.8,25,7.89,25.33,38,29.56,87.41,225.3,89.49,1.28
30/08/2023,2.98,0.77,7.93,10.88,25,7.93,25.5,39,29.69,85.02,231.4,91.24,1.39
31/08/2023,0,0.76,7.89,10.86,25,7.89,25.32,38,30.76,85.26,223.6,105,1.22
01/09/2023,0.07,0.76,7.88,10.93,25,7.88,25.19,38,30.88,86.23,215.1,106.5,1
02/09/2023,1.03,0.76,7.9,10.93,25,7.9,25.36,38,28.91,95.01,250.3,81.18,1.08
03/09/2023,1.91,0.77,7.9,10.84,25,7.9,25.46,39,29.04,94.02,227.3,82.86,0.81
04/09/2023,2.24,0.76,7.83,10.82,25,7.83,25.35,38,29.85,85.96,229,93.2,0.88
05/09/2023,2.62,0.76,7.87,10.8,25,7.87,25.21,38,29.89,87.08,226.9,93.73,1.2
06/09/2023,1.89,0.76,7.86,10.8,25,7.86,25.19,38,29.2,88.42,246.9,84.7,1.03
07/09/2023,2.82,0.77,7.94,10.83,25,7.94,25.54,39,28.25,94.3,239.9,72.61,0.31
08/09/2023,1.03,0.77,7.93,10.88,26,7.93,25.51,45,29.34,89.84,256.6,86.71,1.39
09/09/2023,0.92,0.75,7.8,10.95,25,7.8,24.92,42,28.79,90.82,211.6,79.61,1.07
10/09/2023,1.35,0.76,7.91,10.85,25,7.91,25.39,38,28.95,88.68,234.1,81.63,0.38
11/09/2023,0.86,0.77,7.91,10.87,26,7.91,25.42,39,28.41,93.5,233.6,74.67,0.42
12/09/2023,2.32,0.76,7.83,10.89,25,7.83,25.08,38,30.04,85,222.5,95.68,0.35
13/09/2023,0.23,0.76,7.91,10.81,25,7.91,25.43,41,29.96,90.55,219.6,93.98,1.13
